entrada, t_insertion, t_merge
10, 3, 3
60, 6, 13
110, 19, 23
160, 34, 34
210, 61, 44
260, 94, 54
310, 138, 67
360, 171, 80
410, 244, 94
460, 291, 100
510, 302, 117
560, 409, 127
610, 463, 139
660, 535, 116
710, 652, 166
760, 741, 174
810, 809, 163
860, 788, 157
910, 812, 159
960, 895, 175
1010, 1014, 176
1060, 1125, 199
1110, 1208, 199
1160, 1432, 237
1210, 1462, 287
1260, 2053, 300
1310, 2354, 286
1360, 2562, 316
1410, 2419, 357
1460, 2000, 243
1510, 2630, 293
1560, 2371, 385
1610, 2740, 375
1660, 3055, 373
1710, 3301, 288
1760, 3023, 434
1810, 3218, 360
1860, 3721, 461
1910, 4084, 364
1960, 3410, 357
2010, 5561, 458
2060, 4423, 433
2110, 4765, 413
2160, 4975, 423
2210, 5426, 540
2260, 4771, 528
2310, 5268, 444
2360, 6236, 456
2410, 6838, 622
2460, 6595, 586
2510, 6257, 505
2560, 6831, 526
2610, 6399, 557
2660, 8405, 680
2710, 7999, 686
2760, 9403, 725
2810, 10313, 743
2860, 10423, 895
2910, 11387, 750
2960, 11293, 735
3010, 11143, 791
3060, 12109, 794
3110, 12911, 815
3160, 12874, 775
3210, 13441, 786
3260, 13512, 889
3310, 13552, 646
3360, 11270, 843
3410, 10952, 629
3460, 11964, 629
3510, 14365, 698
3560, 12351, 712
3610, 12348, 830
3660, 12064, 759
3710, 14075, 653
3760, 14110, 719
3810, 14459, 700
3860, 15084, 691
3910, 14159, 736
3960, 14717, 803
4010, 15852, 768
4060, 15713, 741
4110, 16117, 800
4160, 16975, 828
4210, 17395, 839
4260, 17832, 792
4310, 20602, 1050
4360, 20054, 981
4410, 19019, 836
4460, 18986, 839
4510, 19002, 886
4560, 19535, 1161
4610, 20400, 872
4660, 20623, 836
4710, 21402, 1101
4760, 20888, 973
4810, 21154, 951
4860, 26246, 1027
4910, 22547, 972
4960, 24133, 998
5010, 23288, 924
5060, 25011, 1028
5110, 24017, 1191
5160, 25998, 1238
5210, 26354, 1166
5260, 26407, 1317
5310, 29122, 1223
5360, 32480, 1215
5410, 31188, 1077
5460, 31487, 1328
5510, 31924, 1240
5560, 32404, 1042
5610, 29905, 1067
5660, 30188, 1090
5710, 33522, 1049
5760, 31352, 1342
5810, 32343, 1104
5860, 32699, 1089
5910, 33200, 1092
5960, 33029, 1148
6010, 33610, 1282
6060, 36889, 1671
6110, 38084, 1103
6160, 34211, 1114
6210, 36874, 1472
6260, 38176, 1188
6310, 37197, 1181
6360, 37930, 1362
6410, 41118, 1251
6460, 40014, 1575
6510, 41400, 1317
6560, 47218, 1698
6610, 43395, 1252
6660, 42469, 1799
6710, 43553, 1248
6760, 45989, 1254
6810, 41574, 1593
6860, 46697, 1393
6910, 45491, 1448
6960, 45784, 1291
7010, 45683, 1314
7060, 46179, 1445
7110, 45833, 1361
7160, 48456, 1659
7210, 50912, 1417
7260, 47627, 1380
7310, 49224, 1429
7360, 47974, 1455
7410, 52019, 1430
7460, 54625, 1544
7510, 51710, 1423
7560, 51210, 1385
7610, 52559, 1414
7660, 52380, 2201
7710, 60018, 1418
7760, 53977, 1688
7810, 56057, 1627
7860, 58247, 1665
7910, 60228, 1495
7960, 59452, 1494
8010, 58153, 1514
8060, 59122, 1561
8110, 61683, 1759
8160, 61167, 1548
8210, 60520, 1566
8260, 65061, 1764
8310, 65337, 1573
8360, 63977, 1571
8410, 65468, 1564
8460, 67865, 1963
8510, 78632, 2421
8560, 75933, 1621
8610, 67390, 1707
8660, 72200, 1639
8710, 68888, 1679
8760, 68607, 1655
8810, 71073, 1702
8860, 68625, 1674
8910, 71564, 1686
8960, 72812, 1740
9010, 75445, 1726
9060, 75896, 1706
9110, 74703, 1752
9160, 77686, 2330
9210, 75828, 1761
9260, 75719, 2030
9310, 81563, 1721
9360, 78163, 1830
9410, 79982, 1823
9460, 81081, 1905
9510, 79935, 1766
9560, 80847, 1859
9610, 86071, 1855
9660, 82356, 1790
9710, 83328, 1801
9760, 87576, 2142
9810, 85617, 1876
9860, 86726, 1893
9910, 90097, 1862
9960, 88090, 1870
10010, 88871, 1961
10060, 88165, 1855
10110, 91370, 1898
10160, 97387, 1934
10210, 90233, 2067
10260, 91866, 1951
10310, 94083, 1968
10360, 95416, 1953
10410, 102752, 1979
10460, 95888, 2078
10510, 96047, 2047
10560, 99031, 1983
10610, 97655, 1976
10660, 103143, 1991
10710, 102555, 2213
10760, 103068, 2083
10810, 103683, 2013
10860, 102357, 2112
10910, 110633, 2110
10960, 162108, 2449
11010, 120196, 2064
11060, 115383, 2806
11110, 111839, 2138
11160, 109840, 2093
11210, 112252, 2096
11260, 111221, 2152
11310, 116741, 2154
11360, 111643, 2286
11410, 114407, 2170
11460, 114730, 2303
11510, 118355, 2279
11560, 116020, 2227
11610, 116714, 3007
11660, 124124, 2511
11710, 125738, 2927
11760, 125473, 2253
11810, 122690, 2229
11860, 121646, 2289
11910, 126705, 2292
11960, 125073, 2269
12010, 126391, 2259
12060, 124993, 2520
12110, 130117, 2299
12160, 144838, 2372
12210, 132882, 2355
12260, 134330, 2340
12310, 133351, 2286
12360, 135355, 2375
12410, 135650, 2320
12460, 137873, 2565
12510, 135823, 2373
12560, 138703, 2349
12610, 139032, 2599
12660, 142799, 2482
12710, 138779, 2585
12760, 141662, 2497
12810, 145947, 2511
12860, 141067, 2551
12910, 145259, 2602
12960, 144712, 2445
13010, 148934, 2454
13060, 146595, 3540
13110, 148257, 2540
13160, 153761, 2493
13210, 153420, 2476
13260, 153082, 2526
13310, 158501, 2556
13360, 158007, 2602
13410, 168560, 2559
13460, 166577, 2527
13510, 158483, 2638
13560, 159161, 2691
13610, 167534, 2823
13660, 159911, 2573
13710, 164004, 2581
13760, 167935, 2773
13810, 164042, 2637
13860, 165965, 2656
13910, 171089, 2672
13960, 168905, 2676
14010, 169942, 2629
14060, 183244, 2983
14110, 185917, 2892
14160, 183650, 2932
14210, 220459, 2762
14260, 181107, 2759
14310, 183062, 2676
14360, 178911, 2737
14410, 183138, 2734
14460, 208906, 2792
14510, 192530, 3056
14560, 184963, 2746
14610, 183773, 2890
14660, 184591, 2827
14710, 189531, 3124
14760, 187033, 2792
14810, 192429, 2940
14860, 191991, 2861
14910, 188386, 2822
14960, 195324, 2823
15010, 191421, 2853
15060, 199522, 2900
15110, 203609, 2965
15160, 201831, 2961
15210, 207444, 2973
15260, 203809, 3050
15310, 211137, 3100
15360, 217455, 2893
15410, 201912, 3000
15460, 209619, 2926
15510, 204926, 3043
15560, 208757, 3086
15610, 210294, 3018
15660, 208788, 3104
15710, 209665, 3031
15760, 211681, 3121
15810, 215159, 3094
15860, 214799, 3027
15910, 219863, 3035
15960, 216798, 3324
16010, 223604, 3090
16060, 219693, 3038
16110, 218807, 3116
16160, 224017, 3176
16210, 222225, 3078
16260, 228708, 3090
16310, 225598, 3158
16360, 227508, 3130
16410, 228946, 3119
16460, 230324, 3119
16510, 231066, 3121
16560, 236577, 3191
16610, 229987, 3300
16660, 235931, 3354
16710, 236107, 3227
16760, 237421, 3896
16810, 241101, 3198
16860, 242240, 3381
16910, 242639, 3245
16960, 241579, 3482
17010, 245626, 3260
17060, 251830, 3657
17110, 244804, 3265
17160, 249736, 3543
17210, 249274, 3368
17260, 255781, 3653
17310, 258106, 3332
17360, 257459, 3405
17410, 255584, 3353
17460, 257513, 3486
17510, 267140, 3376
17560, 262814, 3471
17610, 262872, 3509
17660, 265958, 3515
17710, 263182, 3825
17760, 271361, 3527
17810, 267211, 3475
17860, 268182, 3427
17910, 270346, 3478
17960, 277969, 4286
18010, 284537, 3518
18060, 277780, 3454
18110, 346910, 3521
18160, 283436, 3962
18210, 279525, 3494
18260, 288492, 3662
18310, 286339, 3548
18360, 289280, 3498
18410, 296852, 3507
18460, 291816, 3529
18510, 293863, 3601
18560, 288801, 3659
18610, 295281, 3756
18660, 295667, 3650
18710, 295376, 3667
18760, 300669, 3677
18810, 297118, 3723
18860, 302540, 3672
18910, 298878, 3650
18960, 302882, 3764
19010, 305167, 3649
19060, 306015, 3727
19110, 304414, 3719
19160, 312939, 3850
19210, 309091, 4050
19260, 316083, 3765
19310, 312838, 3785
19360, 315808, 3727
19410, 318281, 3892
19460, 317609, 3786
19510, 326145, 3759
19560, 326072, 3938
19610, 329284, 3758
19660, 323885, 3819
19710, 329464, 3806
19760, 330373, 3908
19810, 338073, 3847
19860, 335678, 4730
19910, 332988, 3915
19960, 338974, 3850
20010, 341862, 3856
20060, 340636, 3935
20110, 338516, 3933
20160, 346130, 3953
20210, 341816, 3882
20260, 373945, 3950
20310, 348091, 3891
20360, 351439, 3961
20410, 349929, 3884
20460, 350465, 4081
20510, 355178, 3913
20560, 355550, 3940
20610, 350207, 3973
20660, 356063, 3977
20710, 356400, 4268
20760, 358430, 3981
20810, 362722, 3998
20860, 361989, 3997
20910, 367304, 5869
20960, 373154, 4037
21010, 369775, 4194
21060, 377291, 4074
21110, 371853, 4611
21160, 373058, 4078
21210, 389352, 4071
21260, 377183, 4134
21310, 383114, 4125
21360, 387623, 4184
21410, 377999, 4141
21460, 385522, 4149
21510, 389637, 4195
21560, 389459, 4149
21610, 398284, 4408
21660, 400909, 4172
21710, 395004, 4197
21760, 398076, 4213
21810, 413138, 4203
21860, 399064, 4353
21910, 400606, 4363
21960, 405448, 5475
22010, 413952, 4351
22060, 414011, 4624
22110, 431943, 4275
22160, 441967, 4792
22210, 433691, 4608
22260, 452593, 4436
22310, 424133, 4400
22360, 428366, 5859
22410, 470165, 4792
22460, 522608, 5028
22510, 447652, 4368
22560, 426090, 4471
22610, 431743, 4369
22660, 429556, 4374
22710, 430649, 4405
22760, 430790, 4598
22810, 436990, 4460
22860, 448346, 4435
22910, 438483, 4513
22960, 443291, 4543
23010, 439738, 4447
23060, 444395, 4580
23110, 447319, 4466
23160, 450212, 4473
23210, 446297, 4728
23260, 452563, 4491
23310, 451301, 4522
23360, 462749, 4635
23410, 464219, 4533
23460, 455534, 4524
23510, 464136, 4643
23560, 463297, 4568
23610, 467151, 4667
23660, 467653, 4573
23710, 470383, 4575
23760, 471759, 4594
23810, 473461, 4730
23860, 474608, 5010
23910, 480985, 4763
23960, 478165, 4743
24010, 479894, 4684
24060, 483114, 4667
24110, 485198, 4657
24160, 483878, 4689
24210, 488973, 4679
24260, 487977, 4684
24310, 489621, 4679
24360, 496803, 4677
24410, 506695, 5364
24460, 504137, 5669
24510, 505487, 5728
24560, 507063, 5684
24610, 504636, 5216
24660, 512477, 5400
24710, 507875, 5853
24760, 513191, 5872
24810, 526128, 5664
24860, 516753, 4986
24910, 528003, 4969
24960, 521172, 5738
25010, 533677, 4912
25060, 527518, 4991
25110, 531543, 5050
25160, 531846, 5506
25210, 531292, 6092
25260, 528057, 5750
25310, 529073, 5214
25360, 550134, 5144
25410, 543458, 4990
25460, 565541, 5542
25510, 544036, 5388
25560, 554826, 5133
25610, 551558, 5760
25660, 573312, 5099
25710, 560549, 5158
25760, 563603, 5304
25810, 571719, 5211
25860, 567906, 5349
25910, 567644, 5700
25960, 566151, 5117
26010, 570212, 6017
26060, 567311, 5286
26110, 578550, 5242
26160, 577375, 5230
26210, 578559, 5306
26260, 599182, 5848
26310, 582478, 5865
26360, 582138, 5193
26410, 589765, 5838
26460, 588407, 5847
26510, 591866, 5416
26560, 601796, 5802
26610, 621216, 5930
26660, 614038, 6106
26710, 599189, 5732
26760, 610034, 5284
26810, 614245, 5327
26860, 615270, 6014
26910, 617441, 5556
26960, 618204, 5779
27010, 622737, 5500
27060, 634800, 6325
27110, 629877, 6967
27160, 628298, 5820
27210, 628573, 5537
27260, 634329, 5686
27310, 637025, 5889
27360, 636190, 6286
27410, 646330, 6534
27460, 654435, 5587
